frame,intensity,tension,chaos,state,dominant_team,dominance_label,nearest_robot_distance
0,100.0,81.01,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,245.66
1,0.0,81.03,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,246.01
2,2.6,81.02,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,246.05
3,3.51,81.04,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,246.76
4,3.41,81.03,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,246.02
5,3.95,81.0,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,244.84
6,4.82,81.02,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,244.95
7,4.81,81.03,0.0,TENSION,unknown,DOMINIO DESCONOCIDO,243.49
8,100.0,54.55,0.0,INTENSO,unknown,DOMINIO DESCONOCIDO,289.47
9,5.72,0.0,0.0,CALMA,unknown,DOMINIO DESCONOCIDO,
